demand_id,plan_type,fabric_category,internal_item_id,item_id,max_production_limit,min_production_period,max_production_period,arrival_date,type,priority,history_supplier_id,algo_finished,algo_physical_supplier_id,designated_physical_supplier_id,forced_using_private_capacity,shared_capacity_availability,advancement_candidate,manual_arrival_date,valid,create_time,update_time
1585937137616875544,1,梭织,200223110103,C49409373,1,-1,-1,2022-11-08,预估单,蓝单,0003000566,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875545,1,梭织,200223110103,C49409373,1,-1,-1,2022-11-08,预估单,蓝单,0003000566,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875546,1,针织,200223117006,C46684820,1,-1,-1,2022-11-25,预估单,蓝单,0003000658,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875547,1,针织,200223117006,C46684820,1,-1,-1,2022-11-25,预估单,蓝单,0003000658,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069825,1,针织,200223117006,C46684820,1,-1,-1,2022-11-25,预估单,蓝单,0003000658,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069826,1,针织,200223117003,C49345187,1,-1,-1,2022-11-14,预估单,蓝单,0003000658,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069827,1,针织,200223117003,C49345187,1,-1,-1,2022-11-14,预估单,蓝单,0003000658,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069828,1,针织,200223117003,C49345187,1,-1,-1,2022-11-14,预估单,蓝单,0003000658,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069829,1,针织,200223117003,C49345187,1,-1,-1,2022-11-14,预估单,蓝单,0003000658,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069830,1,梭织,200223108006,C49425182,1,-1,-1,2022-11-14,预估单,蓝单,0003001177,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069831,1,梭织,200223108006,C49425182,1,-1,-1,2022-11-14,预估单,蓝单,0003001177,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069832,1,针织,200223119204,C49474951,2,-1,-1,2022-11-14,预估单,蓝单,0003000484,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137621069833,1,针织,200223119204,C49474951,2,-1,-1,2022-11-14,预估单,蓝单,0003000484,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
