item_id,plan_type,internal_item_id,material_code,internal_item_early_id,brand,channel,coop_mode,age_group,fabric_category,item_capacity_group,item_category,sex,year,quarter,amount_level,is_pk_item,is_popular_item,batch,valid,create_time,update_time
208123103001,2,208123103001,C42199883,123DY-GM-103,巴拉巴拉,巴拉巴拉线上,巴拉巴拉FOB,非婴童,毛织,毛织大类,巴拉巴拉毛织毛衫,女,2022,Q1,B,0,0,0批,1,2022-11-30 09:58:54,2022-11-30 09:58:54
208123108103,2,208123108103,C42209154,123DZ-BS-802,巴拉巴拉,巴拉巴拉线上,巴拉巴拉FOB,非婴童,梭织,梭织裤子,巴拉巴拉梭织裤类,男,2022,Q1,B,0,0,2批,1,2022-11-30 09:58:54,2022-11-30 09:58:54
208123108101,2,208123108101,C42209160,123DZ-BZ-805,巴拉巴拉,巴拉巴拉线上,巴拉巴拉FOB,非婴童,针织,针织大类,巴拉巴拉针织裤类,男,2022,Q1,B,0,0,0批,1,2022-11-30 09:58:54,2022-11-30 09:58:54
208123104210,2,208123104210,C42210652,123DZ-UBS-001,巴拉巴拉,巴拉巴拉线上,巴拉巴拉FOB,非婴童,梭织,梭织外套,巴拉巴拉梭织套装,中,2022,Q1,C,0,0,3A,1,2022-11-30 09:58:54,2022-11-30 09:58:54
208123104206,2,208123104206,C42210653,123DZ-UBZ-001,巴拉巴拉,巴拉巴拉线上,巴拉巴拉FOB,非婴童,针织,针织大类,巴拉巴拉针织套装,中,2022,Q1,B,0,0,2批,1,2022-11-30 09:58:54,2022-11-30 09:58:54
208123105001,2,208123105001,C42212289,123DY-GS-501,巴拉巴拉,巴拉巴拉线上,巴拉巴拉FOB,非婴童,梭织,梭织外套,巴拉巴拉梭织便服,女,2022,Q1,S,0,0,0批,1,2022-11-30 09:58:54,2022-11-30 09:58:54
208123108009,2,208123108009,C42212291,123DY-GN-801,巴拉巴拉,巴拉巴拉线上,巴拉巴拉FOB,非婴童,牛仔,牛仔大类,巴拉巴拉牛仔裤类,女,2022,Q1,C,0,0,2批,1,2022-11-30 09:58:54,2022-11-30 09:58:54
208123108007,2,208123108007,C42212292,123DY-GS-801,巴拉巴拉,巴拉巴拉线上,巴拉巴拉FOB,非婴童,梭织,梭织裤子,巴拉巴拉梭织裤类,女,2022,Q1,A,0,0,2批,1,2022-11-30 09:58:54,2022-11-30 09:58:54
208123108008,2,208123108008,C42212293,123DY-GZ-801,巴拉巴拉,巴拉巴拉线上,巴拉巴拉CFOB,非婴童,针织,针织大类,巴拉巴拉针织裤类,女,2022,Q1,A,0,0,1批,1,2022-11-30 09:58:54,2022-11-30 09:58:54
208123104001,2,208123104001,C42212296,123DY-GM-002,巴拉巴拉,巴拉巴拉线上,巴拉巴拉FOB,非婴童,毛织,毛织大类,巴拉巴拉毛织毛衫,女,2022,Q1,B,0,0,1批,1,2022-11-30 09:58:54,2022-11-30 09:58:54
208123104002,2,208123104002,C42212298,123DY-GS-002,巴拉巴拉,巴拉巴拉线上,巴拉巴拉CFOB,非婴童,梭织,梭织外套,巴拉巴拉梭织套装,女,2022,Q1,B,0,0,0批,1,2022-11-30 09:58:54,2022-11-30 09:58:54
208123104004,2,208123104004,C42212300,123DY-GZ-002,巴拉巴拉,巴拉巴拉线上,巴拉巴拉FOB,非婴童,针织,针织大类,巴拉巴拉针织套装,女,2022,Q1,B,0,0,2批,1,2022-11-30 09:58:54,2022-11-30 09:58:54
